Park,Unit Code,Park Type,Region,State,Year,Recreation Visits
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,238226
Acadia NP,ACAD,National Park,Northeast ,ME,2019,3437286
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,187400
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,47427
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,16657
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,8847
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,189189
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,1267900
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,103635
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,51189
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,100
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,287343
Apostle Islands NL,APIS,National Lakeshore,Midwest ,WI,2019,240613
Appomattox Court House NHP,APCO,National Historical Park,Northeast ,VA,2019,102397
Arches NP,ARCH,National Park,Intermountain ,UT,2019,1659702
Arkansas Post NMEM,ARPO,National Memorial,Midwest ,AR,2019,28519
Arlington House The R.E. Lee MEM,ARHO,National Memorial,National Capital ,VA,2019,0
Assateague Island NS,ASIS,National Seashore,Northeast ,MD,2019,2344536
Aztec Ruins NM,AZRU,National Monument,Intermountain ,NM,2019,63777
Badlands NP,BADL,National Park,Midwest ,SD,2019,970998
Bandelier NM,BAND,National Monument,Intermountain ,NM,2019,200741
Belmont-Paul Women's Equality NM,BEPA,National Monument,National Capital ,,2019,9913
Bent's Old Fort NHS,BEOL,National Historic Site,Intermountain ,CO,2019,21674
Bering Land Bridge NPRES,BELA,National Preserve,Alaska,AK,2019,2642
Big Bend NP,BIBE,National Park,Intermountain ,TX,2019,463832
Big Cypress NPRES,BICY,National Preserve,Southeast ,FL,2019,1007471
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,2019,45861
Big South Fork NRRA,BISO,National River,Southeast ,TN,2019,750494
Big Thicket NPRES,BITH,National Preserve,Intermountain ,TX,2019,255926
Bighorn Canyon NRA,BICA,National Recreation Area,Intermountain ,MT,2019,249659
Biscayne NP,BISC,National Park,Southeast ,FL,2019,708522
Black Canyon of the Gunnison NP,BLCA,National Park,Intermountain ,CO,2019,432818
Blue Ridge PKWY,BLRI,National Parkway,Southeast ,NC,2019,14976085
Bluestone NSR,BLUE,National Wild & Scenic River,Northeast ,WV,2019,37663
Booker T. Washington NM,BOWA,National Monument,Northeast ,VA,2019,24640
Boston African American NHS,BOAF,National Historic Site,Northeast ,MA,2019,419585
Boston NHP,BOST,National Historical Park,Northeast ,MA,2019,3201834
Brown v. Board of Education NHS,BRVB,National Historic Site,Midwest ,KS,2019,21413
Bryce Canyon NP,BRCA,National Park,Intermountain ,UT,2019,2594904
Buck Island Reef NM,BUIS,National Monument,Southeast ,VI,2019,37085
Buffalo NR,BUFF,National River,Midwest ,AR,2019,1326282
Cabrillo NM,CABR,National Monument,Pacific West ,CA,2019,761485
Canaveral NS,CANA,National Seashore,Southeast ,FL,2019,1884122
Cane River Creole NHP,CARI,National Historical Park,Southeast ,LA,2019,29922
Canyon de Chelly NM,CACH,National Monument,Intermountain ,AZ,2019,460757
Canyonlands NP,CANY,National Park,Intermountain ,UT,2019,733996
Cape Cod NS,CACO,National Seashore,Northeast ,MA,2019,4096104
Cape Hatteras NS,CAHA,National Seashore,Southeast ,NC,2019,2606632
Cape Krusenstern NM,CAKR,National Monument,Alaska,AK,2019,16226
Cape Lookout NS,CALO,National Seashore,Southeast ,NC,2019,455526
Capitol Reef NP,CARE,National Park,Intermountain ,UT,2019,1226519
Capulin Volcano NM,CAVO,National Monument,Intermountain ,NM,2019,81617
Carl Sandburg Home NHS,CARL,National Historic Site,Southeast ,NC,2019,78144
Carlsbad Caverns NP,CAVE,National Park,Intermountain ,NM,2019,440691
Carter G. Woodson Home NHS,CAWO,National Historic Site,National Capital ,,2019,2381
Casa Grande Ruins NM,CAGR,National Monument,Intermountain ,AZ,2019,68379
Castillo de San Marcos NM,CASA,National Monument,Southeast ,FL,2019,673395
Castle Clinton NM,CACL,National Monument,Northeast ,NY,2019,4361034
Catoctin Mountain Park,CATO,Park (Other),National Capital ,MD,2019,296846
Cedar Breaks NM,CEBR,National Monument,Intermountain ,UT,2019,579861
Cesar E. Chavez NM,CECH,National Monument,Pacific West ,,2019,16490
Chaco Culture NHP,CHCU,National Historical Park,Intermountain ,NM,2019,47342
Chamizal NMEM,CHAM,National Memorial,Intermountain ,TX,2019,38228
Channel Islands NP,CHIS,National Park,Pacific West ,CA,2019,409630
Charles Pinckney NHS,CHPI,National Historic Site,Southeast ,SC,2019,35495
Charles Young Buffalo Soldiers NM,CHYO,National Monument,Midwest ,,2019,14106
Chattahoochee River NRA,CHAT,National Recreation Area,Southeast ,GA,2019,3393133
Chesapeake & Ohio Canal NHP,CHOH,National Historical Park,National Capital ,MD,2019,5116787
Chickamauga & Chattanooga NMP,CHCH,National Military Park,Southeast ,GA,2019,977158
Chickasaw NRA,CHIC,National Recreation Area,Intermountain ,OK,2019,1422612
Chiricahua NM,CHIR,National Monument,Intermountain ,AZ,2019,60655
Christiansted NHS,CHRI,National Historic Site,Southeast ,VI,2019,103594
City of Rocks NRES,CIRO,National Reserve,Pacific West ,ID,2019,99311
