Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,1,1939
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,2,6534
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,3,14566
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,4,16496
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,5,24646
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,6,26854
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,7,37334
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,8,34816
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,9,32877
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,10,19425
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,11,15975
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2019,12,6764
Acadia NP,ACAD,National Park,Northeast ,ME,2019,1,8532
Acadia NP,ACAD,National Park,Northeast ,ME,2019,2,9154
Acadia NP,ACAD,National Park,Northeast ,ME,2019,3,20161
Acadia NP,ACAD,National Park,Northeast ,ME,2019,4,68046
Acadia NP,ACAD,National Park,Northeast ,ME,2019,5,226156
Acadia NP,ACAD,National Park,Northeast ,ME,2019,6,490720
Acadia NP,ACAD,National Park,Northeast ,ME,2019,7,756439
Acadia NP,ACAD,National Park,Northeast ,ME,2019,8,759735
Acadia NP,ACAD,National Park,Northeast ,ME,2019,9,603273
Acadia NP,ACAD,National Park,Northeast ,ME,2019,10,436194
Acadia NP,ACAD,National Park,Northeast ,ME,2019,11,46011
Acadia NP,ACAD,National Park,Northeast ,ME,2019,12,12865
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,1,27
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,2,179
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,3,253
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,4,537
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,5,13187
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,6,23963
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,7,75333
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,8,26011
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,9,19602
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,10,22021
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,11,6031
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2019,12,256
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,1,96
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,2,1571
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,3,1395
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,4,5022
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,5,5482
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,6,4621
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,7,5520
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,8,4332
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,9,4384
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,10,8667
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,11,2058
African Burial Ground NM,AFBG,National Monument,Northeast ,NY,2019,12,4279
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,1,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,2,94
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,3,401
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,4,391
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,5,2188
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,6,3276
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,7,4222
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,8,2775
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,9,2227
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,10,780
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,11,253
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2019,12,50
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,1,42
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,2,272
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,3,806
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,4,1140
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,5,1054
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,6,1074
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,7,1030
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,8,534
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,9,965
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,10,1052
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,11,601
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,2019,12,277
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,1,9975
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,2,8874
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,3,11908
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,4,16847
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,5,16008
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,6,19590
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,7,23073
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,8,20404
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,9,19387
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,10,18642
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,11,13453
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,2019,12,11028
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,1,64128
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,2,70392
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,3,73512
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,4,132270
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,5,133542
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,6,110780
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,7,145472
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,8,123571
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,9,94169
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,10,131963
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,11,88876
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,2019,12,99225
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,1,1106
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,2,6753
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,3,12810
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,4,10645
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,5,14245
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,6,6824
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,7,9047
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,8,5620
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,9,6914
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,10,10764
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,11,9872
Andersonville NHS,ANDE,National Historic Site,Southeast ,GA,2019,12,9035
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,1,2659
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,2,3506
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,3,3705
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,4,4190
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,5,6347
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,6,5590
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,7,5583
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,8,4353
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,9,3775
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,10,4227
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,11,3199
Andrew Johnson NHS,ANJO,National Historic Site,Southeast ,TN,2019,12,4055
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,1,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,2,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,3,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,4,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,5,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,6,20
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,7,35
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,8,35
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,9,10
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,10,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,11,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,2019,12,0
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,1,1280
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,2,6421
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,3,15462
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,4,24037
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,5,33228
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,6,37948
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,7,48965
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,8,33531
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,9,27684
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,10,28643
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,11,16173
Antietam NB,ANTI,National Battlefield,National Capital ,MD,2019,12,13971
Apostle Islands NL,APIS,National Lakeshore,Midwest ,WI,2019,1,0
Apostle Islands NL,APIS,National Lakeshore,Midwest ,WI,2019,2,4424
Apostle Islands NL,APIS,National Lakeshore,Midwest ,WI,2019,3,4602
