park_code,park_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic
abli,Abraham Lincoln Birthplace National Historical Park,1939,6534,14566,16496,24646,26854,37334,34816,32877,19425,15975,6764
acad,Acadia National Park,8532,9154,20161,68046,226156,490720,756439,759735,603273,436194,46011,12865
adam,Adams National Historical Park,27,179,253,537,13187,23963,75333,26011,19602,22021,6031,256
afbg,African Burial Ground National Monument,96,1571,1395,5022,5482,4621,5520,4332,4384,8667,2058,4279
agfo,Agate Fossil Beds National Monument,0,94,401,391,2188,3276,4222,2775,2227,780,253,50
alfl,Alibates Flint Quarries National Monument,42,272,806,1140,1054,1074,1030,534,965,1052,601,277
alpo,Allegheny Portage Railroad National Historic Site,9975,8874,11908,16847,16008,19590,23073,20404,19387,18642,13453,11028
amis,Amistad National Recreation Area,64128,70392,73512,132270,133542,110780,145472,123571,94169,131963,88876,99225
ande,Andersonville National Historic Site,1106,6753,12810,10645,14245,6824,9047,5620,6914,10764,9872,9035
anjo,Andrew Johnson National Historic Site,2659,3506,3705,4190,6347,5590,5583,4353,3775,4227,3199,4055
ania,Aniakchak National Monument & Preserve,0,0,0,0,0,20,35,35,10,0,0,0
anti,Antietam National Battlefield,1280,6421,15462,24037,33228,37948,48965,33531,27684,28643,16173,13971
apis,Apostle Islands National Lakeshore,0,4424,4602,4311,14080,31904,67657,64711,30468,14045,2537,1874
apco,Appomattox Court House National Historical Park,116,2284,5725,14285,13468,14108,14600,10358,10634,8820,4811,3188
arch,Arches National Park,21499,30239,132191,168788,217474,225206,208993,184890,207857,149764,73420,39381
arpo,Arkansas Post National Memorial,546,1495,3595,2241,4855,3790,3792,2122,1718,1747,1392,1226
arho,"Arlington House, The Robert  E. Lee Memorial",0,0,0,0,0,0,0,0,0,0,0,0
asis,Assateague Island National Seashore,64032,43977,74089,153044,199049,312094,502416,453668,274394,144479,76779,46515
azru,Aztec Ruins National Monument,438,1207,4174,5296,6799,9223,9167,6361,7593,7869,2605,3045
badl,Badlands National Park,8981,8059,16517,25083,71885,201516,250898,207743,118262,37727,15450,8877
band,Bandelier National Monument,187,4949,18780,25153,27574,24546,22534,18447,17263,22166,10256,8886
bepa,Belmont-Paul Women's Equality National Monument,23,561,1486,990,905,1344,461,789,815,1094,899,546
beol,Bent's Old Fort National Historic Site,36,441,1526,1779,4172,3251,2844,2117,2379,1434,774,921
bela,Bering Land Bridge National Preserve,260,127,292,216,172,148,438,156,61,422,182,168
bibe,Big Bend National Park,29318,43129,83826,49312,37411,21228,21747,17238,21246,42724,50688,45965
bicy,Big Cypress National Preserve,86391,183754,112730,67562,62298,49683,49956,53820,66352,75219,99814,99892
biho,Big Hole National Battlefield,94,263,479,721,6253,8173,10502,8969,6338,3268,506,295
biso,Big South Fork National River & Recreation Area,34256,42159,41577,61262,95441,87592,66724,72051,80407,75688,55058,38279
bith,Big Thicket National Preserve,9372,14046,14859,23174,28055,22177,22504,26920,28408,23715,25929,16767
bica,Bighorn Canyon National Recreation Area,5713,4082,7091,14104,26038,47620,41646,63717,23104,7016,4569,4959
bisc,Biscayne National Park,50873,59754,76685,64172,79779,65173,60239,46191,46723,38582,59948,60403
blca,Black Canyon Of The Gunnison National Park,4921,6369,12180,25077,75198,75289,51368,80046,48420,25828,22684,5438
blri,Blue Ridge Parkway,346381,472547,702102,1215176,1505593,1686773,1706627,1845584,1712713,1865647,1245446,671496
blue,Bluestone National Scenic River,75,84,218,375,3800,6659,9530,6939,5299,4684,0,0
bowa,Booker T Washington National Monument,85,1316,1808,2399,2034,3380,2917,2589,1438,3111,1485,2078
boaf,Boston African American National Historic Site,2349,6113,5988,7817,41769,100652,95579,88618,32197,21473,10269,6761
bost,Boston National Historical Park,54898,82987,153851,229628,298885,405914,505800,456429,353098,359876,172784,127684
brvb,Brown v. Board of Education National Historic Site,41,906,2158,1894,2889,2551,3183,1896,1397,1626,1950,922
brca,Bryce Canyon National Park,36860,29813,75853,207061,327975,398290,401970,383458,392428,232094,65748,43354
