park_name,park_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,average
Abraham Lincoln Birthplace National Historical Park,abli,177122.0,163568.0,169515.0,163928.0,241264.0,148605.0,252495.0,269580,260964,238226,208527
Acadia National Park,acad,2504208.0,2374645.0,2431052.0,2254922.0,2563129.0,2811184.0,3303393.0,3509271,3537575,3437286,2872667
Adams National Historical Park,adam,73339.0,219975.0,336031.0,285501.0,178468.0,183632.0,199301.0,255562,121007,187400,204022
African Burial Ground National Monument,afbg,117113.0,108585.0,77624.0,93234.0,54861.0,56348.0,46526.0,43182,45035,47427,68994
Agate Fossil Beds National Monument,agfo,12509.0,11617.0,11824.0,10504.0,12440.0,13264.0,15555.0,32038,16238,16657,15265
Alibates Flint Quarries National Monument,alfl,4350.0,3214.0,3383.0,1555.0,4513.0,9492.0,8153.0,6613,7415,8847,5754
Allegheny Portage Railroad National Historic Site,alpo,107363.0,118410.0,138864.0,107977.0,172883.0,168433.0,189371.0,201837,189047,189189,158337
Amistad National Recreation Area,amis,1574322.0,1436759.0,1367502.0,1025151.0,1130096.0,1250051.0,1164530.0,1221635,1111770,1267900,1254972
Andersonville National Historic Site,ande,121535.0,108812.0,122883.0,98771.0,127189.0,136686.0,134216.0,132149,138164,103635,122404
Andrew Johnson National Historic Site,anjo,60323.0,52322.0,51261.0,42929.0,42863.0,45357.0,45937.0,53998,50671,51189,49685
Aniakchak National Monument & Preserve,ania,62.0,57.0,19.0,134.0,134.0,153.0,100.0,100,100,100,96
Antietam National Battlefield,anti,393957.0,384987.0,510921.0,370832.0,337079.0,347180.0,351911.0,366508,326197,287343,367692
Apostle Islands National Lakeshore,apis,156945.0,176040.0,163419.0,148556.0,290059.0,232662.0,183796.0,203421,252920,240613,204843
Appomattox Court House National Historical Park,apco,216220.0,258917.0,320668.0,317660.0,278776.0,412640.0,303139.0,113960,103044,102397,242742
Arches National Park,arch,1014405.0,1040758.0,1070577.0,1082866.0,1284767.0,1399247.0,1585718.0,1539028,1663557,1659702,1334063
Arkansas Post National Memorial,arpo,34712.0,37127.0,39703.0,36420.0,30860.0,38702.0,34405.0,36079,30126,28519,34665
"Arlington House, The Robert  E. Lee Memorial",arho,627576.0,576816.0,562772.0,586531.0,671638.0,532050.0,1057500.0,726059,49500,0,539044
Assateague Island National Seashore,asis,2106090.0,2105419.0,2154859.0,2056828.0,2170681.0,2275606.0,2267821.0,2347167,2136889,2344536,2196590
Aztec Ruins National Monument,azru,37437.0,41106.0,44744.0,41312.0,44721.0,53165.0,57692.0,52756,54933,63777,49164
Badlands National Park,badl,977778.0,870741.0,883406.0,892372.0,868094.0,989354.0,996263.0,1054325,1008942,970998,951227
Bandelier National Monument,band,234896.0,193914.0,150289.0,126682.0,130106.0,174073.0,198478.0,209141,198441,200741,181676
Belmont-Paul Women's Equality National Monument,bepa,,,,,,,2704.0,10893,9081,9913,8148
Bent's Old Fort National Historic Site,beol,29120.0,26842.0,25815.0,23324.0,24555.0,26219.0,31948.0,26397,23562,21674,25946
Bering Land Bridge National Preserve,bela,2642.0,1890.0,2642.0,2642.0,2636.0,2642.0,2642.0,2642,2642,2642,2566
Big Bend National Park,bibe,372330.0,361862.0,292055.0,316953.0,314102.0,381747.0,388290.0,440276,440091,463832,377154
Big Cypress National Preserve,bicy,665523.0,941393.0,882570.0,1007788.0,1192856.0,1112290.0,1102148.0,922883,794350,1007471,962927
